Date of Check,Game ID,Game Name,Rating
2024-09-26,10,Counter-Strike,NATIF
2024-09-26,80,Counter-Strike: Condition Zero,NATIF
2024-09-26,100,Counter-Strike: Condition Zero,NATIF
2024-09-26,300,Day of Defeat: Source,NATIF
2024-09-26,20,Team Fortress Classic,NATIF
2024-09-26,30,Day of Defeat,NATIF
2024-09-26,40,Deathmatch Classic,NATIF
2024-09-26,50,Half-Life: Opposing Force,NATIF
2024-09-26,60,Ricochet,NATIF
2024-09-26,70,Half-Life,NATIF
2024-09-26,130,Half-Life: Blue Shift,NATIF
2024-09-26,220,Half-Life 2,NATIF
2024-09-26,340,Half-Life 2: Lost Coast,NATIF
2024-09-26,240,Counter-Strike: Source,NATIF
2024-09-26,280,Half-Life: Source,NATIF
2024-09-26,360,Half-Life Deathmatch: Source,NATIF
2024-09-26,320,Half-Life 2: Deathmatch,NATIF
2024-09-26,380,Half-Life 2: Episode One,NATIF
2024-09-26,4000,Garry's Mod,NATIF
2024-09-26,400,Portal,NATIF
2024-09-26,420,Half-Life 2: Episode Two,NATIF
2024-09-26,500,Left 4 Dead,OR
2024-09-26,550,Left 4 Dead 2,NATIF
2024-09-26,42700,Call of Duty: Black Ops,ARGENT
2024-09-26,42710,Call of Duty®: Black Ops,ARGENT
2024-09-26,620,Portal 2,NATIF
2024-09-26,72850,The Elder Scrolls V: Skyrim,OR
2024-09-26,113400,APB Reloaded,ARGENT
2024-09-26,212070,Star Conflict,NATIF
2024-09-26,218230,PlanetSide 2,OR
2024-09-26,1083500,PlanetSide 2 - Test,ARGENT
2024-09-26,236390,War Thunder,NATIF
2024-09-26,223710,Cry of Fear,ARGENT
2024-09-26,248570,Toribash,NATIF
2024-09-26,224260,No More Room in Hell,NATIF
2024-09-26,253710,theHunter Classic,OR
2024-09-26,35720,Trine 2: Complete Story,NATIF
2024-09-26,2280,DOOM + DOOM II,PLATINE
2024-09-26,252110,Lovers in a Dangerous Spacetime,NATIF
2024-09-26,25850,Elven Legacy,OR
2024-09-26,42930,Elven Legacy: Magic,OR
2024-09-26,42940,Elven Legacy: Siege,OR
2024-09-26,42950,Elven Legacy: Ranger,OR
2024-09-26,261430,AION MMO,ARGENT
2024-09-26,264710,Subnautica,OR
2024-09-26,108600,Project Zomboid,NATIF
2024-09-26,730,Counter-Strike 2,NATIF
2024-09-26,322330,Don't Starve Together,NATIF
2024-09-26,380600,Fishing Planet,NATIF
2024-09-26,291550,Brawlhalla,OR
2024-09-26,397900,Business Tour - Board Game with Online Multiplayer,PLATINE
2024-09-26,236110,Dungeon Defenders II,OR
2024-09-26,275850,No Man's Sky,OR
2024-09-26,518790,theHunter: Call of the Wild,OR
2024-09-26,553850,HELLDIVERS 2,OR
2024-09-26,8500,EVE Online,OR
2024-09-26,386180,Crossout,BRONZE
2024-09-26,657200,Hand Simulator,OR
2024-09-26,700330,SCP: Secret Laboratory,ARGENT
2024-09-26,736590,Operation: Harsh Doorstop,PLATINE
2024-09-26,739630,Phasmophobia,OR
2024-09-26,744900,Dead Frontier 2,OR
2024-09-26,753610,J.A.W.S,NOT ENOUGH REVIEW
2024-09-26,794600,LET IT DIE,ARGENT
2024-09-26,807140,Marble Run 2D,NOT ENOUGH REVIEW
2024-09-26,714010,Aimlabs,OR
2024-09-26,835570,Conqueror's Blade,PLATINE
2024-09-26,922630,Mortal Royale,NOT ENOUGH REVIEW
2024-09-26,945360,Among Us,OR
2024-09-26,20900,The Witcher: Enhanced Edition Director's Cut,OR
2024-09-26,1144200,Ready or Not,OR
2024-09-26,1085660,Destiny 2,INJOUABLE
2024-09-26,1172470,Apex Legends,OR
2024-09-26,1180380,Stay Out,ARGENT
2024-09-26,1222140,Detroit: Become Human,OR
2024-09-26,1249200,Ghostrunner Demo,OR
2024-09-26,1241100,POLYGON,ARGENT
2024-09-26,1301720,Escape Room - Der kranke Kollege,PLATINE
2024-09-26,1310520,Occupy Mars: Prologue (2020),OR
2024-09-26,1340530,Mr. Prepper: Prologue,OR
2024-09-26,1359090,Zero Hour,OR
2024-09-26,1407200,World of Tanks,OR
2024-09-26,1088150,Scribble It!,NATIF
2024-09-26,1549250,UNDECEMBER,OR
2024-09-26,582660,Black Desert,ARGENT
2024-09-26,1557740,ROUNDS,OR
2024-09-26,823130,Totally Accurate Battlegrounds,ARGENT
2024-09-26,625340,XERA: Survival,BRONZE
2024-09-26,1240440,Halo Infinite,ARGENT
2024-09-26,1757760,My Stepsis is a Futanari,NOT ENOUGH REVIEW
2024-09-26,1782210,Crab Game,NATIF
2024-09-26,1446780,MONSTER HUNTER RISE,OR
2024-09-26,578080,PUBG: BATTLEGROUNDS,INJOUABLE
2024-09-26,1902490,Aperture Desk Job,NATIF
2024-09-26,1966720,Lethal Company,PLATINE
2024-09-26,1977530,One-armed cook,OR
2024-09-26,1881700,Undawn,INJOUABLE
2024-09-26,1575870,UpGun,PLATINE
2024-09-26,2064650,Tower of Fantasy,INJOUABLE
2024-09-26,2073850,THE FINALS,OR
2024-09-26,2139460,Once Human,OR
2024-09-26,2143030,Cave Crawlers,PLATINE
2024-09-26,1282100,REMNANT II,OR
2024-09-26,2448970,Dungeonborne,INJOUABLE
2024-09-26,1785150,Friends vs Friends,OR
2024-09-26,1844380,Warhammer Age of Sigmar: Realms of Ruin,PLATINE
2024-09-26,2296990,We Were Here Expeditions: The FriendShip,PLATINE
2024-09-26,1676840,For The King II,PLATINE
2024-09-26,2881650,Content Warning,PLATINE
